cve_mun_full,Municipio,NOM_MUN_CLEAN,temp_media_anual,ZON_TER,marginacion,electricidad_pct,computadoras_pct,internet_pct,infra_adaptada_pct,material_adaptado_pct,agua_potable_pct,lavabo_manos_pct,indice_infra_sep,escuelas_infied,luz_con_pct_infied,agua_red_pct_infied,bebederos_con_pct_infied,techumbre_con_pct_infied,ambito_urbano_pct_infied,ambito_rural_pct_infied,ambito_predominante_infied,control_predominante_infied
21033,SOLTEPEC,Cohuecan,19.0,Semicálido,Medio,88.9,77.8,33.3,0.0,0.0,100.0,100.0,0.6,,,,,,,,,
21034,TECALI DE HERRERA,Coronango,15.0,Templado,Muy bajo,100.0,66.7,61.9,61.9,19.0,57.1,100.0,0.7,,,,,,,,,
21035,TECAMACHALCO,Coxcatlán,13.0,Templado,Medio,91.9,64.9,24.3,18.9,10.8,59.5,91.9,0.5,,,,,,,,,
21036,TEHUACÁN,Coyomeapan,15.0,Templado,Muy alto,96.9,57.8,4.7,0.0,1.6,34.4,79.7,0.4,,,,,,,,,
21037,TEPEACA,Coyotepec,19.0,Semicálido,Medio,100.0,66.7,16.7,33.3,33.3,100.0,100.0,0.6,,,,,,,,,
21038,TEPEXI DE RODRÍGUEZ,Cuapiaxtla de Madero,17.0,Templado,Medio,83.3,83.3,66.7,33.3,16.7,83.3,100.0,0.7,,,,,,,,,
21039,TEZIUTLÁN,Cuautempan,13.0,Templado,Alto,80.0,40.0,0.0,5.0,0.0,75.0,90.0,0.4,,,,,,,,,
21040,TLAOLA,Cuautinchán,17.0,Templado,Alto,93.3,66.7,40.0,40.0,13.3,80.0,93.3,0.6,,,,,,,,,
21041,TLATLAUQUITEPEC,Cuautlancingo,17.0,Templado,Muy bajo,100.0,74.2,72.6,51.6,25.8,95.2,98.4,0.7,,,,,,,,,
21042,TOCHTEPEC,Cuayuca de Andrade,19.0,Semicálido,Alto,88.2,58.8,5.9,11.8,17.6,70.6,70.6,0.5,,,,,,,,,
21043,XICOTEPEC,Cuetzalan del Progreso,21.0,Semicálido,Alto,83.8,40.4,7.4,8.8,19.9,80.1,87.5,0.5,,,,,,,,,
21044,XIUTETELCO,Cuyoaco,11.0,Semifrio,Medio,96.7,46.7,23.3,10.0,3.3,93.3,96.7,0.5,,,,,,,,,
21045,ZACAPOAXTLA,Chalchicomula de Sesma,15.0,Templado,Bajo,94.1,62.7,31.4,17.6,15.7,94.1,96.1,0.6,,,,,,,,,
21046,ZACATLÁN,Chapulco,17.0,Templado,Bajo,100.0,55.6,44.4,44.4,22.2,88.9,100.0,0.7,,,,,,,,,
21047,ZAPOTITLÁN,Chiautla,25.0,Cálido,Medio,91.1,50.0,17.9,5.4,3.6,69.6,78.6,0.5,,,,,,,,,
21048,ZARAGOZA,Chiautzingo,15.0,Templado,Bajo,100.0,66.7,40.0,26.7,6.7,100.0,93.3,0.6,,,,,,,,,
