cve_mun_full,NOM_MUN_CLEAN,temp_media_anual,ZON_TER
12033,Huamuxtitlán,21.0,Semicálido
12030,Florencio Villarreal,27.0,Muy cálido
12031,General Canuto A. Neri,21.0,Semicálido
12028,Chilapa de Álvarez,25.0,Cálido
12029,Chilpancingo de los Bravo,27.0,Muy cálido
12026,Cuetzala del Progreso,25.0,Cálido
12027,Cutzamala de Pinzón,25.0,Cálido
12025,Cuautepec,27.0,Muy cálido
12062,Tlacoachistlahuaca,27.0,Muy cálido
12059,Tepecoacuilco de Trujano,23.0,Cálido
12061,Tixtla de Guerrero,23.0,Cálido
12060,Tetipac,23.0,Cálido
12063,Tlacoapa,21.0,Semicálido
12022,Coyuca de Catalán,21.0,Semicálido
12023,Cuajinicuilapa,27.0,Muy cálido
12020,Copanatoyac,13.0,Templado
12021,Coyuca de Benítez,27.0,Muy cálido
12016,Coahuayutla de José María Izazaga,23.0,Cálido
12017,Cocula,27.0,Muy cálido
12014,Benito Juárez,27.0,Muy cálido
12015,Buenavista de Cuéllar,25.0,Cálido
12012,Ayutla de los Libres,27.0,Muy cálido
12013,Azoyú,27.0,Muy cálido
12010,Atlixtac,23.0,Cálido
12011,Atoyac de Álvarez,27.0,Muy cálido
12008,Atenango del Río,27.0,Muy cálido
12009,Atlamajalcingo del Monte,19.0,Semicálido
12073,Zirándaro,23.0,Cálido
12004,Alcozauca de Guerrero,23.0,Cálido
12068,La Unión de Isidoro Montes de Oca,23.0,Cálido
12001,Acapulco de Juárez,27.0,Muy cálido
12005,Alpoyeca,23.0,Cálido
12024,Cualác,19.0,Semicálido
12065,Tlalixtaquilla de Maldonado,19.0,Semicálido
12080,Juchitán,27.0,Muy cálido
12064,Tlalchapa,23.0,Cálido
12018,Copala,27.0,Muy cálido
12019,Copalillo,23.0,Cálido
12006,Apaxtla,27.0,Muy cálido
12007,Arcelia,25.0,Cálido
13029,Huichapan,15.0,Templado
13034,Lolotla,23.0,Cálido
13030,Ixmiquilpan,15.0,Templado
13031,Jacala de Ledezma,23.0,Cálido
13033,Juárez Hidalgo,23.0,Cálido
13035,Metepec,15.0,Templado
13036,San Agustín Metzquititlán,15.0,Templado
13037,Metztitlán,15.0,Templado
13038,Mineral del Chico,15.0,Templado
13006,Alfajayucan,15.0,Templado
13007,Almoloya,13.0,Templado
13008,Apan,13.0,Templado
13009,El Arenal,15.0,Templado
13010,Atitalaquia,15.0,Templado
13011,Atlapexco,23.0,Cálido
13012,Atotonilco el Grande,15.0,Templado
13013,Atotonilco de Tula,15.0,Templado
13014,Calnali,23.0,Cálido
13015,Cardonal,15.0,Templado
13016,Cuautepec de Hinojosa,15.0,Templado
13021,Emiliano Zapata,11.0,Semifrio
13083,Zempoala,15.0,Templado
13084,Zimapán,15.0,Templado
13071,Tlahuiltepa,15.0,Templado
13072,Tlanalapa,15.0,Templado
13081,Zacualtipán de Ángeles,13.0,Templado
13082,Zapotlán de Juárez,15.0,Templado
13075,Tolcayuca,15.0,Templado
13076,Tula de Allende,15.0,Templado
13078,Xochiatipan,23.0,Cálido
13073,Tlanchinol,23.0,Cálido
13017,Chapantongo,15.0,Templado
13044,Nopala de Villagrán,15.0,Templado
13045,Omitlán de Juárez,15.0,Templado
13046,San Felipe Orizatlán,23.0,Cálido
13047,Pacula,15.0,Templado
13048,Pachuca de Soto,15.0,Templado
13049,Pisaflores,23.0,Cálido
13077,Tulancingo de Bravo,15.0,Templado
13018,Chapulhuacán,23.0,Cálido
13020,Eloxochitlán,19.0,Semicálido
13022,Epazoyucan,15.0,Templado
13023,Francisco I. Madero,15.0,Templado
13024,Huasca de Ocampo,15.0,Templado
13067,Tezontepec de Aldama,15.0,Templado
13025,Huautla,23.0,Cálido
13026,Huazalingo,23.0,Cálido
13027,Huehuetla,17.0,Templado
13028,Huejutla de Reyes,23.0,Cálido
13043,Nicolás Flores,15.0,Templado
13066,Villa de Tezontepec,15.0,Templado
13068,Tianguistengo,23.0,Cálido
13069,Tizayuca,15.0,Templado
13019,Chilcuautla,15.0,Templado
13032,Jaltocán,23.0,Cálido
13041,Mixquiahuala de Juárez,15.0,Templado
