cve_mun_full,Municipio,Escuelas,Alumnos,Alumnos Mujeres,Alumnos Hombres,Docentes¹
20038,SANTO DOMINGO TEHUANTEPEC,2,2066,1852,214,38
20039,TEOTITLÁN DE FLORES MAGÓN,1,234,166,68,5
20040,TLACOLULA DE MATAMOROS,1,90,69,21,5
20041,TLALIXTAC DE CABRERA,1,87,61,26,5
20042,VILLA DE TUTUTEPEC,2,49,32,17,4
20043,ZIMATLÁN DE ÁLVAREZ,1,112,99,13,7
21001,ACAJETE,1,22,22,0,2
21002,ACATLÁN,6,1010,652,358,85
21003,ACATZINGO,2,32,28,4,7
21004,AHUAZOTEPEC,2,68,36,32,26
21005,AJALPAN,1,21,21,0,2
21006,ALTEPEXI,1,16,15,1,2
21007,AMOZOC,4,3855,3109,746,122
21008,ATLIXCO,9,1670,983,687,111
21009,CHALCHICOMULA DE SESMA,6,2870,2254,616,84
21010,CHIAUTLA,2,1969,1502,467,59
21011,CHIGNAHUAPAN,1,12,10,2,2
21012,CHIGNAUTLA,1,16,10,6,2
21013,CUAUTLANCINGO,3,392,375,17,80
21014,CUETZALAN DEL PROGRESO,1,2,2,0,3
21015,EPATLÁN,1,9,6,3,1
21016,GUADALUPE VICTORIA,1,15,15,0,2
21017,HUAUCHINANGO,5,1576,1217,359,76
21018,HUEHUETLA,1,20,16,4,4
21019,HUEJOTZINGO,3,2486,1489,997,32
21020,IZÚCAR DE MATAMOROS,3,2291,1237,1054,80
21021,LIBRES,2,84,76,8,4
21022,MIXTLA,1,32,11,21,10
21023,NOPALUCAN,1,33,31,2,3
21024,ORIENTAL,2,1153,866,287,90
21025,PANTEPEC,1,15,15,0,1
21026,PUEBLA,58,18131,10607,7524,620
21027,RAFAEL LARA GRAJALES,3,63,63,0,5
21028,SAN ANDRÉS CHOLULA,1,148,108,40,16
21029,SAN JOSÉ MIAHUATLÁN,1,38,38,0,1
21030,SAN MARTÍN TEXMELUCAN,11,2754,1942,812,134
21031,SAN PEDRO CHOLULA,6,2279,1532,747,87
21032,SANTO TOMÁS HUEYOTLIPAN,1,8,8,0,1
21033,SOLTEPEC,1,8,7,1,2
21034,TECALI DE HERRERA,1,12,12,0,1
21035,TECAMACHALCO,6,2361,1900,461,68
21036,TEHUACÁN,9,2882,2028,854,122
21037,TEPEACA,2,54,28,26,14
21038,TEPEXI DE RODRÍGUEZ,3,1217,1085,132,108
21039,TEZIUTLÁN,9,1861,1159,702,105
21040,TLAOLA,1,19,19,0,2
21041,TLATLAUQUITEPEC,4,71,40,31,7
21042,TOCHTEPEC,1,6,6,0,1
21043,XICOTEPEC,1,156,114,42,6
21044,XIUTETELCO,2,44,43,1,5
21045,ZACAPOAXTLA,5,732,224,508,31
21046,ZACATLÁN,6,1484,1066,418,106
21047,ZAPOTITLÁN,1,11,2,9,1
21048,ZARAGOZA,2,50,50,0,4
21049,ZINACATEPEC,1,15,15,0,2
22001,AMEALCO DE BONFIL,1,23,23,0,1
22002,CADEREYTA DE MONTES,1,1569,1349,220,12
22003,CORREGIDORA,4,1387,980,407,18
22004,EL MARQUÉS,1,2027,672,1355,12
22005,EZEQUIEL MONTES,1,731,526,205,12
22006,JALPAN DE SERRA,1,1200,886,314,8
22007,QUERÉTARO,49,20111,12896,7215,316
22008,SAN JOAQUÍN,1,757,624,133,3
22009,SAN JUAN DEL RÍO,13,3799,2252,1547,52
22010,TEQUISQUIAPAN,2,1684,1138,546,14
23001,BACALAR,1,1783,1298,485,31
23002,BENITO JUÁREZ,23,11538,9354,2184,148
23003,COZUMEL,1,2920,2101,819,28
23004,FELIPE CARRILLO PUERTO,3,1829,1199,630,10
23005,ISLA MUJERES,1,138,120,18,6
23006,JOSÉ MARÍA MORELOS,1,1535,1240,295,6
23007,LÁZARO CÁRDENAS,1,843,735,108,3
23008,OTHÓN P. BLANCO,10,7167,4878,2289,99
23009,PUERTO MORELOS,1,1382,1128,254,21
23010,SOLIDARIDAD,6,6971,5219,1752,59
23011,TULUM,1,2875,1989,886,10
24001,AXTLA DE TERRAZAS,1,5435,4398,1037,47
24002,CATORCE,1,10529,9088,1441,70
24003,CERRITOS,1,2087,1750,337,25
24004,CIUDAD DEL MAÍZ,1,2726,2510,216,27
24005,CIUDAD FERNÁNDEZ,1,8,8,0,2
